id,label
1,((4-3)-(4-7)-(4-10))
2,((3-2)-(3-5)-(3-7))
3,((3-3)-(3-6)-(3-8))
4,((2-3)-(2-5)-(2-8))
5,((4-2)-(4-4)-(4-6))
6,((3-5)-(3-7)-(3-10))
7,((3-4)-(3-6)-(3-8))
8,((5-2)-(4-4)-(3-7))
9,((3-2)-(3-4)-(3-7))
10,((3-2)-(2-4)-(2-7))
11,((3-2)-(3-5)-(3-7))
12,((4-2)-(4-5)-(4-8))
13,((4-3)-(3-7)-(4-11))
14,((4-3)-(4-5)-(4-8))
15,((4-3)-(4-5)-(4-8))
16,((3-4)-(3-6)-(3-10))
17,((3-3)-(3-5)-(3-8))
18,((3-4)-(3-6)-(3-9))
19,((3-3)-(3-5)-(3-8))
20,((3-3)-(3-6)-(4-9))
21,((3-2)-(3-5)-(2-9))
22,((3-2)-(3-5)-(3-7))
23,((2-2)-(2-5)-(2-8))
24,((3-5)-(2-7)-(2-10))
25,((3-3)-(3-6)-(3-8))
26,((3-3)-(3-6)-(3-9))
27,((3-3)-(3-5)-(3-8))
28,((3-3)-(4-5)-(4-7))
29,((3-2)-(3-4)-(3-7))
30,((3-3)-(3-6)-(3-9))
31,((3-2)-(3-4)-(3-6))
32,((3-2)-(3-4)-(3-6))
33,((3-2)-(3-4)-(3-6))
34,((2-2)-(2-5)-(2-7))
35,((3-2)-(3-4)-(2-6))
36,((2-2)-(2-4)-(2-6))
37,((3-2)-(3-5)-(3-9))
38,((3-3)-(3-6)-(3-9))
39,((3-3)-(3-5)-(3-9))
40,((3-3)-(3-6)-(3-10))
41,((4-3)-(4-6)-(4-10))
42,((3-4)-(3-7)-(3-9))
